"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationButtons.tsx", "TypeScript JSX", -26, 0, -9, -35
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationModal.tsx", "TypeScript JSX", 160, 0, 22, 182
"Total", "-", 134, 0, 13, 147
