"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Trending.tsx", "TypeScript JSX", 6, 0, 0, 6
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistCardMenu.tsx", "TypeScript JSX", 33, 0, 4, 37
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationButtons.tsx", "TypeScript JSX", 38, 0, 9, 47
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationModal.tsx", "TypeScript JSX", 93, -1, 9, 101
"Total", "-", 170, -1, 22, 191
