"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\Dashboard.page.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 5, 34
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardDiscover.page.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 5, 24
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardHome.page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 3, 16
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardPlaylists.page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardRecommendation.page.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 4, 21
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\Home.page.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 2, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\theme.ts", "TypeScript", 3, 0, 0, 0, 1, 2, 6
"c:\Users\Maciej\Desktop\vite-template-master\src\types\playlistTypes.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 9, 36
"c:\Users\Maciej\Desktop\vite-template-master\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 3, 2008, 261, 1, 4, 389, 2666
