"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationManual.tsx", "TypeScript JSX", 162, 0, 18, 180
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationManualModal.tsx", "TypeScript JSX", 115, 0, 12, 127
"Total", "-", 277, 0, 30, 307
