"filename", "language", "TypeScript JSX", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\components\Welcome\Welcome.test.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\components\Welcome\Welcome.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\Users\Maciej\Desktop\vite-template-master\src\contexts\AudioProvider.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 8, 49
"c:\Users\Maciej\Desktop\vite-template-master\src\favicon.svg", "XML", 0, 0, 1, 0, 0, 1, 2
"c:\Users\Maciej\Desktop\vite-template-master\src\main.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\Dashboard.page.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 5, 34
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardDiscover.page.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 5, 24
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardHome.page.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardPlaylists.page.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardProfile.page.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardRecommendation.page.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\Home.page.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\svg\Disque_Vinyl.svg", "XML", 0, 0, 120, 0, 0, 48, 168
"c:\Users\Maciej\Desktop\vite-template-master\src\svg\Full_Logo_Black_RGB.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Maciej\Desktop\vite-template-master\src\theme.ts", "TypeScript", 0, 3, 0, 0, 1, 2, 6
"c:\Users\Maciej\Desktop\vite-template-master\src\types\playlistTypes.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 9, 36
"c:\Users\Maciej\Desktop\vite-template-master\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 2934, 3, 122, 264, 2, 553, 3878
